,comment,Label
1052,Mirip ih ❤,positif
955,Seruuu tp menakutkan juga 😂,positif
1825,Sukaakkk banget karinnnnn,positif
414,Kok pas liat agak degdegkan yak😂,negatif
2218,luv🔥🔥🔥😍😍😍,positif
778,Syedepp,positif
1475,Kok horor gtu,positif
598,Slide 3 & slide 8 sesak liatnya,negatif
178,Mauuuuuuu :((((,positif
2161,GROSIR TAS IMPORT TERMURAH👜💼,positif
340,lucu bgtt,positif
985,DOBLEH😭😭😭,netral
2187,💙😭,positif
1323,@mirzasyahrianto  kangen jogja,positif
2272,Mirip rumah di film Perempuan Tanah Jahanam,positif
1609,Gunusshhh 😍😍😍 @awkarin @sbngram,positif
198,Ihhhh tau dehh ayaammm😍,positif
2293,cuteeeee😍,positif
1295,Cantik banget siiii 😭❤,positif
1712,Gimana rasanya kak?,netral
829,Sekilas aku liatnyw dia DO exo:(((((,positif
1527,@alisa.joana,netral
142,SENENG BGT KA KARIN BISA KE JOGJAAAAA❤️,positif
665,YG TERAKHIR YA RIN INI JANGAN GANTI LAGI!!!,negatif
1420,Ka@awkarin brapa hari ya di jogja?,positif
196,Luvvvv💝💝,positif
2224,Cakep amat pcr orang.,positif
315,"Duhh gw anak indihome rin, ga ngerti ginian 🥲",negatif
2232,@phandaleea berani banget,positif
759,😍😍😍,positif
170,Jadi pengin.,positif
1921,@kennydchh So prnh ksni ng?,netral
1526,Paling banyak area belakang deket sumur si 🥺🥺,negatif
773,😭❤️❤️,netral
1838,entah knp jd merinding,negatif
1755,Jd kangen jogja kangen sate pak pong 😁,positif
1950,rumah yg pernah jurnalrisa datengin bukan si?,positif
22,first🙌,positif
574,gemesnya mas abi,positif
45,KAK KAPAN SIH INI KE JOGJANYA KOK AKU GATAU,positif
1222,Kangen bgt sama jogja😭,positif
467,Dulu pernah pesen sare jn,positif
106,@fachriansyahaf 😍😍,positif
1726,🖤,positif
1706,Yg di dms ga si,positif
1254,"Slide 8, di atas lemari 😶",netral
1363,🙌😍,netral
442,Azekkkkkk,positif
1280,Jd kangen jogja😩😭,positif
319,Kyutttt bgtttt💖,positif
184,langgeng karin!🤎🤎,positif
2047,Mas abinya manis banget😍,positif
1399,Tempat uji nyali tuh,negatif
2200,Yampun masih remaja toh almarhum 😭😭😭,netral
1355,ada rambat lancah kak😢,negatif
1977,mantapp👍👍👍,positif
1091,💖,positif
839,😍,positif
1683,Sering bgt kesitu 🤤💜,positif
1839,pas galau galau nya 🤣,negatif
1810,Begitupula perasaan gw ke elu Karin..,positif
744,Pak ponggg memang terbaikkk 👌,positif
539,Pernah nonton di konten nya DMS,positif
2214,😍,netral
618,@tit.ahhhhhhh,positif
801,U guys are so cute❤,positif
1872,wanginya sampe sini,positif
2108,Kejogjaa kudu kesini ni 😂 @evanglgs_,positif
1170,Yuk @sivakartika @bellasafrinaa,positif
1193,Kayak abdi negara nihh,positif
398,Merinding banget,negatif
210,aku merinding ka karin baca pesannya sumpah.,negatif
1042,😍,positif
1185,❤️❤️,positif
65,Tmpt maen uno sampe subuh :(,positif
863,Mas abi ku 💕,positif
2005,utk ambil fotonya sajapun aku sih TIDAK ya :(,positif
796,Konten terbaik✨❤️,positif
1681,😍😍,positif
203,"Bukan indigo, tp ikut sesek jg😢",negatif
108,deket rumahhh😭❤️,netral
2068,nunggu anak indigo komen..,positif
1873,❤️❤️,positif
2,Rumah pocong jogja 👻,negatif
1964,Nunggu nya berapa jam rin 😅😂,negatif
341,@tim_jurnalrisa fix harus datengin tempat ini,positif
1496,NIH SATE KLATHAK @difhaelhaq,netral
875,🔥🔥🔥,positif
482,Slide trakhir sih 🙈,netral
1336,tbtb pusing😢,negatif
916,Karin foto disana bukan horor malah estetic,positif
372,Nyi Rorokarin 😍,positif
576,@tim_jurnalrisa  wajib nih dicoba 😂,positif
942,lebih horor baca komen2nya siih,negatif
211,miripppppp,positif
520,Kicik apaan?,netral
1771,ini mah pas di foto setannya jadi estetik,negatif
1884,Kembarrr,positif
1936,Aalllooooo kaaa karinnnn❣️❣️❣️,positif
1673,Cute banget😍,positif
1436,Karinnnnnnnnn,positif
354,Kangen jogja😍,positif
96,owshie kangen jogja,positif
589,Rumah style Chinese ya?,netral
1685,2020 pacar baroo,netral
1354,Gumuyyyy 😍,positif
513,Insyallah sah yah😍😍😍,positif
71,sate klathak itu daging apa ya? serius nanya,netral
1382,Bukan indigo slide 2 kerasa sedihnya😢.,negatif
1359,💖🌸🌸🌸❤️,netral
456,Miripppp😍,positif
725,Aamiinin ges,netral
68,Jdi inget trauma 27mei2006 merapi,negatif
1949,Cantik aja heran❤️,positif
881,💖💖👍,netral
2178,@ojatputra tau tempat ini?,netral
231,Liat fotonya ajaa merinding sihhh,negatif
377,"Jadi kapan mau sebar undangan ""eh 😁😍""",positif
862,ko mirip 😭,positif
432,Aku melihat banyak mikroba,positif
994,Ko miripp,positif
1772,@shellirachel ayo ka,positif
1263,the last pict bikin kaget wkwkwk,negatif
1572,@lynggrn,positif
1780,💟💟💟,positif
814,"Klo sma yg ini , aku liat nya ademmmm😘😍",positif
1505,@diarycewekindigo,netral
218,Ini keren banget😍,positif
948,liat dari foto ajah udah merinding,negatif
16,Kesini apa ?@estilarasati,positif
2035,"Ya Tuhan, aku kangen Jogja 😭",positif
367,"Keren kak Karin, salaaaam dari jogja",positif
884,❤️,positif
2060,Itu kpn kak??,netral
2152,Fwesh,netral
1132,Cocok kk 😍,positif
1713,Manis bgt,positif
1502,😍😍,netral
2118,Emg enak bgt tuh sate kak,positif
984,Mas abi manis bgt dah,positif
542,Sya mah anak INDIHOME jadi ga bisa liat🔥🔥,netral
803,@istianahvina anak Indihome coba liat ini 😂,netral
677,Liatnya muallll sumpah😢😢😢😢,negatif
406,@meylan.dp @meylandp hajarr meyy,positif
552,Gak beraniii,negatif
362,💎💎💎💋💎💎,netral
549,❤❤,netral
970,Luvvvv,positif
1611,mirip,positif
1361,@rifki_ctprtm @jerrybudiharjo 🙈,netral
940,Keren🔥🔥🔥,positif
1351,@_ziddann dkt rumah mu dun,positif
788,"BAHAGIA TERUSSS YAA MBA KARIN, MAS ABI❤️",positif
1448,cantikk sekaliii,positif
1889,ADA VLOG NYA GA SIH RINNN??,netral
2258,Njirr kirain bidadari kayangan 😐,positif
1135,"Jadi inget ""Galau jogjain aja"""" 😁 @eri.carl""",negatif
1729,unch bgt huhu💓,positif
1848,Slide terakhir 👏,positif
642,❤,netral
1148,Ogah rin,negatif
554,gantenk bgt,positif
2173,Belakang rumah simbah nich @adnankarunia haha,positif
693,"Baru aja balik, wishlist kalo kesana lagi!",positif
2009,Rumahnya bagus. Sayang bgt kyk gitu:(,positif
649,Jogja istimewa 😍😍😍,positif
420,Gua gak ngeliat indihome di rumah itu 😂,positif
593,Awww❤️,positif
1525,❤️❤️❤️,netral
1906,Aaa😍😍,positif
1401,@adthmst,positif
2054,kangen jogja yaallah😭😭,positif
706,Mirip Woyyyyyy😍😍,positif
1891,DMS pernah ke situ,netral
1504,@rahmafadilaa,positif
2257,🙏🙏,positif
960,❤️❤️❤️❤️,positif
1307,mas abi mirip d.o,positif
1227,@eva18yulian,positif
500,Cakep bgt 😍,positif
147,"Pusing liat fotonya, kenapa yaaaaa😢",negatif
258,Kangen Jogja🤧,positif
769,Cinta bgt sumpahhhh😍😭,positif
13,@jeremy.roberts.549436 my fav one 😍😍,positif
1294,Udh pernah,positif
1692,Iki loh sing jareku biyen @izzi_izzulhaq,positif
114,Cocok batt parshh!!,positif
957,@martmarta_,positif
2177,Yang fto ke 3 itu kaya ada kepala deh,negatif
241,@ruthmurniati_ mau coba ga? Wkwkkwkw,positif
1410,Aku anak indomie seleramu,netral
679,mirip masa hahahaha,positif
2295,TBL TBL TBL 😮😢,positif
56,sate yang bikin ngangenin 🤤,positif
435,❤️❤️❤️,positif
2095,Brrrrrrrrrrrr,netral
155,terniat bngt bngtann😭😭,positif
2299,Ncesss @yurikeputri.ad,positif
1981,Dinginn rinn dinginn @awkarin,netral
60,Slide terakhir pengen nangis😢,negatif
29,Wkwkwk angkringan lainnya cmn 2rb an:),positif
782,Ude pernah ye @generasi.meecin,positif
35,Rumahnya bagus klasik 😍,positif
1826,slide ke 3 gerak ya apa aku aja yg lihat😮,negatif
1060,@diarymisterisara,positif
358,Pernah nonton pas dirumah ini. Di DMS,positif
1123,@_bimaadwi owner,positif
1837,Ganteng banget astaga 😭,positif
524,❤️,positif
737,Langgeng,positif
2137,poulie juga suka makan angkringan 😍,positif
265,❤️❤️❤️,positif
1212,Anak vertigo nyimak 😢,netral
1914,ih lucu sekaliyyy😍,positif
1300,Ini rumah yg pernah di datengin tim DMS Ya,netral
1768,gagah bgt siiiii mas abiii😭😭😭😭,positif
1999,damn cute😭😍,positif
548,❤❤❤❤,positif
1662,Ini yg prnh di datengin sara kan,positif
887,@fatennabillah24 yuk ngabs jelasin,netral
2243,Aku anak indomie bgt lg😢,positif
494,@ii.naaa jd pgn,positif
580,Kaya gak asing tempatnya😂😂 @sarawijayanto,positif
1293,Ada orang tua ga sih wkwk @awkarin,netral
1482,Mirip banget kak😂😍,positif
431,Awkwk Mas abi dan mba Karin makan sate,positif
1721,Luvv❤️❤️❤️❤️,positif
1717,very interesting to try when visiting Jogja 😍,positif
212,😢😢😢😢😢,negatif
1484,GODDAMN!!!🔥🔥🔥,positif
1064,Cakepppp,positif
75,Aku jogja bantul pula tapi ga berani kesana😂,negatif
1654,Mba sara pranh kstu gak sih klo gak salah,positif
1898,ng dms enek @ditaparamita1,netral
1031,@tim_jurnalrisa,positif
1961,Bkn ank indigo tp indihome,netral
247,♥️,netral
1464,AKUUUU!!!😭😭😭,negatif
186,seremmm jirr,negatif
668,@almajid_antik_,positif
1187,Tadi aku kang parkirnya,netral
8,woi pgn😭,positif
1790,awkarin makan sate cakep!!!,positif
1945,"Vibenya kerasa bgt,merinding",negatif
1627,@nurafnilubis_ aghh🤤,positif
1386,Jawab @itsme.frisllyherlind 😁,netral
1105,Miripp ihh,positif
1829,Ganteng❤️,positif
1887,@deviliaadp,positif
1124,😍😍😍,netral
445,"Slide ,3,4,7 langsung merinding😶",negatif
1901,Ni baru angkringaaaan @niraadriana_,positif
464,Badalaa.. gone serem tenan😮,negatif
455,Foto slide terakhir paling serem,negatif
2277,👏,positif
999,tiap slide fotonya sambil merem merem 😁,negatif
1538,@pinkan_n_a rame bngt woi,positif
1646,Itu ga masuk angin apa ka?,negatif
752,I see 👀,positif
2240,Foto pertama ada di kiri dkt pintu,netral
533,Aa kgnn bgt makan iNIIiww,positif
243,Ini yg ada di yt nyai sarah wijayanto ga sih?,netral
401,Yok buruan order tahu baliknya....,positif
1633,@angkringancakjess 🔜,positif
244,pusing banget liat nya aslii,negatif
1368,L.❤️,positif
2044,@farizanrrhm skuy,positif
450,Merinding😢,negatif
2004,Lu cocok rin ama dia wkwk🔥🔥,positif
2193,kenapa bacanya terapi:(,netral
285,@_serlyma cedakmuuuuuu,positif
471,Kamar sihh auranya,positif
1326,😮,netral
2234,Di jakarta 2000an kak wkwkwk,positif
871,Deg deg an liatnya,negatif
1317,Kayak tmpt syutingnya sara wijayanto thn lalu,positif
611,😍,netral
426,Kota gede yaaaa?,positif
1184,❤️,netral
1593,Ke tempat syutingnya perempuan tanah jahanam,positif
1014,Creepyyyyyyyyyyy,negatif
1343,Udah pernah nton di diary misteri sara.,netral
1564,@marviana_risty,positif
1616,"Aaaa ada d Jogja ka:"") i wanna meeeett uuu😢""",positif
1257,@tim_jurnalrisa kesini dong kak🧏🏻‍♀️,positif
1259,Cocok banget😍😍,positif
1519,Betul kak😍😍😍😍,positif
678,merinding,negatif
1044,kyoooddd😍,positif
2262,@risa_saraswati @indyratnap,positif
943,@herimochtar90,positif
1218,Sewa mobil ready all unit kaka,positif
1065,Biasanya kalo mirip jodoh,positif
1926,Secantik itukah diirimu??,positif
1537,@vintaaprl,positif
49,Wow,positif
540,😍😍😍😍,positif
110,😍😍😍,netral
510,slide ke 5 🙃,netral
44,kangen jogja😭,positif
1115,😭 @oktaviafauzatur,netral
1530,pak pong👍👍,positif
78,@ifalafff,netral
269,@panianggr,netral
1240,serem,negatif
826,Rin ayo dong main bareng @tim_jurnalrisa,positif
313,Slide 4😵,positif
2255,Mirip awkarin 2017 sumpa,positif
911,❤️,positif
1952,@nrlsknh13 Tolong anak indomie,netral
338,Mirip bangett,positif
466,💗,netral
1998,Harga per jeep atau perorang kak?,netral
363,KANGEN JOGJA😭😭😭😢,positif
1439,Dah lah dah lah #menujuhalal,negatif
2155,@fathurshafly,positif
1702,Masih dijogja ga kak?,netral
1094,foto ke 3 pas liat ngerasa sesk gatau kenapa,negatif
1748,@tim_jurnalrisa,positif
1034,Kakk lagi di jogja?,positif
685,aku org jogja tp blm pernah kesana😢,negatif
2290,Terlalu gemas❤️,positif
1322,😳 takut,negatif
83,Mas abi,netral
2107,💞💞💞💞,positif
1088,@napiatn monggo napia dilihat,positif
2077,❤️,netral
2249,Kok puyeng🥴,negatif
919,@agungrizki10,netral
1678,@muhammadrasyidocid,netral
1494,keren,positif
1281,🔥🔥🔥🔥,positif
205,ke nepal van java donh rin,positif
328,Aku yg baca caption ny langsung merinding 🥺,negatif
808,mlm mlm makin🔥,positif
1196,Keliatan kok itu,positif
1057,Bikin pusing😨😰 @diarycewekindigo,negatif
1775,Firstt❤️,positif
528,cantik pol,positif
656,Bakmi gandhok pls itu bakmi jawa enak😭,positif
2145,Slide 3,positif
2182,Cutie❣️,positif
858,Aku nggk berani kak 😢,negatif
844,Tau tempatnya dari DMS🔥,positif
1767,"Rin , babang ny buat aku aja boleh gk?",netral
879,Creepy tapi keren tempatnya,positif
1988,@nggeksetiawan ono GRB-X nggex,netral
472,@arobby_ yuk ke sini di jogja,positif
1993,Dikasur nya ada yang lagi duduk ):,positif
131,Deket rumah aku inii,positif
1039,😍😍,netral
439,@risnaayu98 @dinarsuryadhi,positif
849,merinding pls,negatif
2238,TBL TBL😬,positif
476,Kak karin😍,positif
904,Dms pernh shoot lokasi ini,positif
853,Cutieee💛,positif
1736,@widiaak_ gini ay,positif
129,Pernah buat shooting @diarymisterisara 😂,netral
1682,Gasss g nih? @rriiaaa2_ @anisaapr.54,positif
103,Hmm bisa bisanya berdiri disudut😢,negatif
1835,Mas abi 😭,netral
1084,@sellasyhftr21,positif
784,@dvftraaaaa_  mau coba g?,positif
1383,💛,netral
969,Yang ngefotoin siapa kak,netral
1688,Aw aw apa yg keren @awkarin 😚,positif
165,mirip,positif
1733,@azputrii_,positif
1260,Wawwwww🥵,positif
907,Udh nyoba.emg enk bgt!,positif
1545,Take me here @ferialarafat00 😁,positif
349,Pernah nonton di. Ytub nya DMS😍,positif
1955,muka kk karin beda😭,netral
371,Bajunya kakak 🥰👗,positif
2211,Sumpah liat ini mual,negatif
1430,Berani dong rinn,positif
1276,@farahafiza24 @yunindra_ yuk yuk,positif
507,Yahhh d corat/coret yaa rin,negatif
1680,Cobain sate petir pak nano!!,positif
395,😍😍😍,positif
625,ndak tau😪,negatif
695,Aku firsttt ka😍,positif
1944,@alwyoemar_,positif
761,TBL 🥺,negatif
1414,Tiaraaa @diarycewekindigo 😂,positif
263,"Tentang Kak karin, sate dan kak abii",positif
2183,Yummyyy banget🤤😍😋,positif
846,Setiap ke jogja mau ksini gagal mulu kesel 😭,positif
783,merinding,negatif
645,❤❤❤❤❤❤❤❤❤,netral
2138,😮😮😮,netral
2254,Ak nangis,negatif
771,disini kan ada kamar yg gaboleh dibuka,negatif
2216,ini kapannn,netral
51,Cuma anak rumahan😞,netral
2210,kgn bgt🥺✨,positif
493,Kakaaaa❤️❤️,positif
601,💖💖💖😭,netral
2248,@raflirm_  coba liat,positif
1571,🥰,netral
1121,Mampir rumahku sini rin😂,positif
993,Vibes horor tapi aesthetic,positif
1035,Kangen jogjaaa !!,positif
1971,Sakjosee tnn sampean mbak😳😍💓,positif
238,👍,positif
97,Aku dijogja ngk sempet noba,negatif
779,Cocok bngttt😍,positif
1885,@mhmd_fajarabdn,netral
111,❤️😚,positif
1220,❤️❤️,positif
183,@tim_jurnalrisa dateng kesini atuh,positif
2164,GEMESHHHHH😍🔥,positif
1268,@diarycewekindigo,positif
613,Ini kan yg pernah di datangin @sarawijayanto,positif
1473,lebih merinding buka dompet🔥,negatif
1958,😳😳👻,negatif
1490,Makanan Indonesia tetap terbaik🤤,positif
81,ko kita ga ketemu wkwk,netral
484,@sarawijayanto mamiihhh wajib kestuu nelusur😍,positif
397,Yaampun keren bangetttt 😍😍,positif
1291,Happy ending 🤲,positif
1892,Kapan jogja lageee,positif
1994,@itsme.frisllyherlind,positif
1821,Ada anak kecil itu,netral
1911,😍,positif
1807,Dimana rin?,netral
88,mari kita nabung @sanayakrns,positif
38,Mirip yaallah wkwk,positif
1849,Sah,positif
1432,yuk @fzakmal,positif
571,Ih mirip.. sumpah 😍,positif
2006,😍😍💯,netral
1516,"I saw her Face , mba Ayu 😢",netral
934,ko pertama liat gue bacanya terapi yah😭,negatif
1318,R8,netral
261,nyi roro kidul,netral
1290,Keanu said : hanya imajinasi😭,negatif
1440,Liat slide ke slide aja bisa merinding😢,negatif
514,Knp ye suka bgt ngeliat mreka bdua,positif
599,ganti pacar lagi ? 😂,negatif
356,@muhammad_nurhamit,positif
608,Hampir tiap ke jogja ke sini,positif
1714,Unchhhhgg👏👏👏,positif
239,rene ye muk @iqbal.bili 🤭🤭🤭,positif
1223,Cute bgt kak Karin ❤️❤️,positif
1474,lu diem di angkringan aja cakep rin heran 😭,positif
1831,Kenapa pas kita kejogja gak kesini @gogotbs,positif
119,"mirip wajahnya, semoga berjodoh 😍",positif
1649,😐😐😐,negatif
1455,io,netral
751,@elizaaap @winaaass @hi_winii @slv_claudia,netral
2131,Tibatiba pusing mendadak :( gatau kenapaaa,negatif
374,💖,netral
2266,"Porsi setengah,dan porsi satu🤣",netral
1067,berapa jam nunggu nya?,negatif
1321,ku pikir ini siapaaaaa,positif
1125,"Plisss, kali ini jangan sampai lepas😩❤️",positif
2245,Gemesh sama pipi karin skrg 😂,positif
2040,@tim_jurnalrisa kesini dongg,positif
1158,Langsung bulan besok rin,netral
1675,Ko yo ora mampir to kak..,positif
729,😍🔥,positif
410,Kotagede🔥,positif
1668,@sifafaujiah_,positif
1391,First,positif
2058,Lucu nih di bikin cafe estetik ....,positif
1224,"Hehehehhehehe, cukup sampe slide 4 aja. Heheh",negatif
1089,Foto lama ya kakkk kayinnn😂😂,negatif
2098,Merinding😢,negatif
1191,@risa_saraswati ka coba kesini,positif
867,@marcelinashellyy gabung yuk. Deket.,positif
1296,😍,netral
2153,Di angkringan aja tetep cakeup dan estetik,positif
382,Kembar bgt sii heran,positif
2162,wah ra mampir umahku,negatif
1553,Wah kasurnya,netral
541,@tim_jurnalrisa,netral
1615,Serem tapi estetic @__sakinahhh,negatif
2000,Angkringan mmg terthebestt!😍,positif
1320,Yang di diary misteri sara ya,positif
1841,Mantap 😍,positif
1974,Cek ig kita yaa,netral
188,Mba Suminya keliatan dong :(,negatif
681,Nunggu berapa jam?😂,negatif
1274,Kapan nih @eik_kaplale,netral
1478,Mirip banget mukanya kakak 💓💓,positif
316,Pantes cantik bru 18thn,positif
1238,Cobain sate Pak Bari 🔥👏,positif
123,Aduh bikin ngiler😢 @awkarin,positif
1691,😢,negatif
874,😊😊,netral
660,❤️❤️,positif
531,Ada apatu @riantubagus0,netral
255,wenak bgt ini mah,positif
1054,😍,netral
662,Ga berani ngeslide,negatif
1979,❤️❤️❤️,netral
230,@explorekotagede,positif
901,❤️❤️❤️❤️,positif
1647,aaaa😍,positif
765,yaampun serem banget dompet aku😢,negatif
1695,Mas abi,netral
1715,Itu foto pak soekarno ga si?,netral
380,slide terakhir 🥲,positif
1870,@ieynahulopi,positif
864,sukakkkk😍,positif
1288,😱,negatif
787,Deket rumahku😭,positif
101,Jogja im in love❤️,positif
1984,💖💖💖💖,netral
2015,jogjaaaahhhh,positif
1595,Pernah didatengin Ama dms kayanya ya...,positif
1957,Kangennn jogja kangen makanan2 nya🖤,positif
1742,Nyesek dari dada ke leher,negatif
877,Dewi fortuna turun dari kayangan 😂,positif
1620,Mirip😀,positif
675,Merupakan adalah daging kambing,netral
566,Merinding bgt,negatif
290,juaraaaakkk😍❤️ @awkarin,positif
2126,❤️❤️❤️,positif
798,damn,positif
523,@dendyaryo,netral
626,❤️,netral
495,Covookk,positif
2149,yuk bisa collab yuk🙌 @tim_jurnalrisa,positif
158,😍😍😍😍😍,positif
790,💖,positif
2091,Liat foto dia g udah merinding bgt 😢,negatif
1941,Peninggi ginjalnya kak,positif
366,Salfok sama keanu wkwk,netral
1476,Setujuuuuuuuuu,positif
228,Aku kngn🔥 5k dpt nasi 2😂,positif
912,Gw liat fotonya aja merinding banget 😟,negatif
417,sabian ganteng,positif
1230,❤,positif
742,Kliyengan abis liat foto²nya... 🥴,negatif
79,Pusing pala asli,negatif
1214,gampanglah,positif
492,😍,positif
1169,@tim_jurnalrisa  kesini dong gengs,positif
2236,Wohooo,positif
2064,Sering lewat huhu,positif
1342,@bellabe_19,netral
824,❤️,positif
1761,🔥🔥🔥,positif
1791,💙💙💙,netral
1168,@tim_jurnalrisa,positif
2099,Kalo kesana bayar ga ka?,netral
2042,Beby nak nih @tipeng_gluwer,positif
1793,Rumah pocii😢,negatif
1024,kyk yg dibuat syuting perempuan tanah jahanam,positif
413,@tim_jurnalrisa,positif
592,😍😍😍,netral
1727,@sarawijayanto,positif
1655,Ko mirip si😍,positif
2116,😍😍😍😍,netral
1178,Kok aku pusing ya,negatif
1794,MAKANAN JUARAAA😭😭,positif
1372,Cocok bingiddss😍,positif
127,kirain nyi roro kidul😭❣️,netral
1856,Slide 3 creepy nya juara😮,negatif
1923,@ssblla cb bil jwb bil dmn,netral
1533,Pacar baru?,positif
403,@kisahyanglain @haa.lahh ayookk gas,positif
150,tempat bermain yaaa kak 🙂,positif
346,Itu @keanuagl ngapain si,netral
1437,Yang dari tanah akan kembali ke tanah ❤️❤️❤️,netral
1693,SUMPA TENGKLENGNYA JUGA ENAKKK BGTTT,positif
394,Cocok,positif
62,@ade_melugi @inabundaaisya  berani?,positif
1860,Makanan indonesia enak enak😍,positif
208,Langsung merinding sampe geter badanku😢,negatif
496,@diarycewekindigo,positif
352,mommy 😭😍😍😍,positif
95,Merapi ora njebluk tp lg mbangun,positif
1061,Amazing eqeqeqq,positif
1509,❤️🔥,positif
959,Ko jadi pusing liat nya😢,negatif
143,👏👏👏,positif
2016,Totalitas @ummikhasyati_ @whutymeidilla,positif
1182,ngumpul semua digenteng ya shay🥲,negatif
1585,Kerasa bgt horornya,negatif
1787,Dada ku tbtb sesek  liatnya🥺,negatif
1237,Mas abi bisa mampir kekosku bentar loooh😂,negatif
1554,Mampir jalan kaliurang lah kak @awkarin,positif
236,Merindinggggggg,negatif
222,Yaelah w liatnya pas tengah mlm lg:),positif
2285,Sumpah mirip,positif
345,@ansfebrany silahkannnn 😬,positif
120,Saya yg bahagia melihatnya😍,positif
588,o,netral
559,Kok sekilas kek putri duyung tanpa ekor ya😅,positif
332,Jogja♥️,positif
1086,Enakk bgttt in gak ngerti!!!?😩,positif
2159,Waaaaaawwww 👏👏👏,positif
193,@haaaqik,positif
235,Sate kesukaanku ❤️,positif
181,mirip juga kalo diliat liet ey,positif
628,❤️👏,positif
389,😍,positif
968,Buset dari blakang lebar bat lu rin,negatif
1724,Kak karin kejogja?,netral
669,❤️❤️❤️,netral
2225,❤️❤️❤️❤️,positif
1603,Gw pernah kesana dong!😭😭😭😭😭😭😭😭😭😭😭,positif
1824,Samping kiri karin kenapa gelap kali 🥺,negatif
370,😭💓😍,positif
1406,Yang laki siapa kak?,netral
1365,Langsung sesek napas dong 🥴,negatif
1394,@jack.harjo kita blm ksini😭😥,negatif
331,Indomie,netral
614,Rumah pocong bkn sih ??,negatif
1286,Mirip deh wajahnyaaaa,positif
1030,ngeliat slide yang ke-3 langsung sesek nafas😖,negatif
266,😂,netral
1062,❤️❤️,positif
2271,Pengen dong di endorse 😂,positif
545,wahh selamat mengeksplor Jogja kak❤️❤️❤️❤️,positif
1142,Rin ini endore gak?,positif
1591,Aku liat foto slide terakhir berasa sedih😢😞,negatif
105,Karin hebat gada takut2nya❤️,positif
1875,GRB-X 🔥,positif
1508,Colab? @tim_jurnalrisa,positif
128,@briaaan05 km berani???,positif
630,💖💖,positif
683,ga beraniliatstorylu rin,negatif
20,Emanggg nikmaadddd betulll💕,positif
870,Bantul?,netral
242,@book_of_nena_,positif
50,Kita pernah kesini kan @rumiyatunpujilestari,positif
1186,@rinarwj 🙄,netral
915,Lihat fotonya aja uda merinding loh 😮,negatif
441,@ricky_lie27 tolong di explore,positif
707,Slide terakhir 😖,netral
1679,😍,netral
1843,Mantan gue ni❤️❤️❤️,positif
822,"Sy menu paling bawah aja...""Es jeruk""""...😂""",netral
301,❤️,netral
172,@team_jurnalrisa penelusuran kesini plis,positif
284,😘m,positif
1258,Mirip masa depan ku,positif
1575,Order pempek & tekwan yuukk,positif
920,😘,positif
1433,Cakep anjg😍,positif
2188,penasaran!!,positif
734,Mantab @awkarin  smpai bantul😍,positif
1234,😍😍,positif
344,Nga ena,negatif
306,Miripppppp pake bangetttt😭,positif
2136,Fokus aku ke @keanuagl 🤣🤣🤣,positif
2280,Shoulder bag murahhh nya sis,positif
922,Udah pernah kesitu gw wkwkwk😂🤣,positif
1313,Cantik banget sih😍,positif
1402,Mirip😭❤️,positif
2167,Ini yg di datengin sama DMS,positif
167,❤️❤️❤️❤️❤️,positif
421,Cantik terus🖤,positif
225,@dwiyantimarcelina @mutiarmdh kgn bgt😭,positif
12,Hampir mirip sm rumahku kak,positif
1546,Waduhh tertarikkkkkk.,positif
2286,Duuuh kangen jogja bangeeet😩😩😢,positif
1092,yah burem,negatif
90,Ajibbb👍,positif
1962,Aaaa cantik sekali😍,positif
2087,Cocok,positif
1404,Ada yang duduk di slide 1,netral
857,wuuuw😻,positif
876,Aku aja yang daerah jogja gaperna kesitu :v,negatif
1396,❤️,positif
1282,@irsemoticon mau kesini juga 😑,positif
777,@yhenisiwi  mba mbolll ngrti tmpt iki rung,netral
304,@nanndasa,positif
2242,@tim_jurnalrisa,positif
2007,#karin2020nikah,netral
2185,Slide 7 luaar biasa sumurr ituuu 🔥🔥🔥🔥,negatif
28,Rumah poci bukan si?,positif
1990,Waaaa jadi pengen lagi 😭,positif
1066,@indahaazzahra ??,netral
1232,Gemessssss ahhh😭,positif
1924,kesini ni kalo ke jogja be @rian_stwnn,positif
2256,Slide ke7 bikin merinding sampai balii😂,negatif
490,@ruventeuxy silahkan tunjukan pesonamu dd,positif
74,Apalaah daya aku yng cuma anak indihome😭😭😭,positif
515,Takut banget lochh 😱😱😱😱,positif
1309,Kaka✨,netral
2025,serem yaa hawanya beda gitu,positif
1095,Mirip banget kaya adik kakak,positif
561,uhhh,positif
179,suka,positif
109,Ayok awkarin beli maskenya,netral
1584,ajakin plis😭 @lizagstn @ekaaa.sn,positif
1517,@naf.edelweis kuy?  Wkwk,positif
116,hay anak indi😂🤣 @maafinya02,netral
293,Sara sechan pasti pernah ksini,netral
1100,#2020gantistatus,positif
1072,@billskyyy_ pliss,positif
643,Thankyou Rin 🙌❤️,positif
772,Dan akan berakhir di tanah,negatif
2094,❤️❤️❤️,netral
1799,Moga ini yang terakhir ka karin @awkarin,positif
1356,Mirip bgt asleeee😍😍,positif
1600,@d.wahyuni_,positif
622,💝💝,positif
1588,Keeung,netral
498,🖤🖤🖤,positif
2078,AKU BGT ! ☹️,positif
409,Karin beranii tidakk?,positif
636,ini tempat main film yg wayang itu kan?,netral
1623,@indyratnap @risa_saraswati,positif
115,💖💖,netral
