name;comment;Label
teamkarin.relationship;"Jadi kapan mau sebar undangan ""eh 😁😍";positif
arjuunaa_;"Jadi inget ""Galau jogjain aja"" 😁 @eri.carl";negatif
salsabillafird;😍😍😍;netral
tridevikhairi;@panianggr;netral
marianimarbun1;😍😍😍😍;netral
stephanie.glo;Enak bangeetttt ituuu🙌 jadi kangen jogjaaaa😭❤️;positif
hutamyvranda;Ini akpol ka juga??7 hahaha @ainunnptrya;netral
normapermatasari;@awkarin  you look twins;positif
hebihime.___;babee💛💛💛;netral
_apdaaa;rinn cowo lo manis bangett;positif
nindiyaaa__;GEMESSSSS;positif
rripyourbaee;bagi bagi kakk;positif
gtsw__;Lucuuu bngettt 😭😭😭💕💕💕cantikk ceunah dong @awkarin;positif
onyourm_awa;luvv bangett ama kaliaaan;positif
mala_mbem018;soswettt❤️;positif
celine.shalbyna;😍;netral
nadiaptw_;First like;positif
sadam.frasil;♥️;netral
mkevinhdyt;Awkwk Mas abi dan mba Karin makan sate;positif
annaaufall;Tentang Kak karin, sate dan kak abii;positif
onyourm_awa;❤️❤️❤️❤️❤️❤️;netral
royaljelita224_;Ciye akhirnya di tag mas nya;positif
2nd_sy;❤️;netral
onyourm_awa;UWUWUWUUW;positif
amira_balqh;First;positif
harleyhoek;First🔥;positif
gunggekari;Mirippp bgttt 😍;positif
tltha22;Kyuuudy❤️;positif
lindaalvian1902;💙💙💙💙💙💙;netral
arrozizikri;envy;positif
54rda;cocokk😍;positif
iyaudahhdiem;Kak Karinnn💕;netral
raziefal_;Kaka✨;netral
devimar_24;😍;netral
jessyca.gn;🙌;netral
deanitasivana;😍😍;netral
thahirass;💖;netral
anns.tniaa;First❤️;positif
awkarin;Mendaki Gunung Api Purba Nglanggeran di Yogyakarta.Gunung api purba adalah sebutan yang biasa diberikan pada fosil gunung berapi yang sudah tidak aktif lagi atau telah mati. Dulunya, gunung api purba juga aktif seperti gunung berapi yang kita kenal masih aktif saat ini.Sebenarnya gunung ini lebih indah lagi jika didaki ketika pagi hari, karena gunung ini merupakan salah satu spot sunrise yang paling diminati karena keindahannya. Dengan ketinggian 700 mdpl kalian bisa menikmati kota Jogja dari atas puncak Gunung Nglanggeran.Waktu tempuh untuk sampai ke puncak Gunung Api Purba Nglanggeran adalah sekitar 45-60 menit, tergantung dari kecepatan tracking kalian. Kita tadi sampai di atas gunung kurang lebih 1 jam, soalnya kebanyakan foto-foto hehehehe.But, overall the short hike was worth the view!;positif
kadhiffa;Yuk @sivakartika @bellasafrinaa;positif
alippiawk;@bayu_saputra54 kesini;positif
alvie_danur;slide terakhir, gumushh❤️;positif
__neonlightsla__;Ko ga di kasih credit si captionnya? Kan jatohnya plagiarism;negatif
feninuni;Habis dari sini wajib bgt pijet 😂;negatif
ilhamprastw;Lets go my home 🔥😂;positif
risabrinaa;@tyatiyull21 @sitinurpah27 @stnurmalasari_ @rafzhw;netral
muttiaranissa;Dekat situ ada tempat makan menu2  otentik viewnya asik hamparan sawah dan gunung purba,  namanya Pawon Purbo @awkarin;positif
lemarikualv;Aku kira cuma lirik lagu, ternyata ada beneran gunung ini😍;positif
ocan_06;@dek_aya18 masi inget ga kita dulu kesini, turun2 salah jalur terus muter berjam2😂;negatif
daifongberjenggot;Enek lagune, Ademe gunung merapi purbaMelu krungu swaramu ngomongke opoAdeme gunung merapi purbaSing neng langgran Wonosari Yogjokarto😍😍😍;positif
yuli_fitmah;Kita pernah kesini kan @rumiyatunpujilestari;positif
thisisbagas;Di sini gunung di sana gunung😍😂;positif
lonaprelia;Bagus sekali ini mantap;positif
ktut.darmi;❤️;netral
fbridna;kak main ke lampung nanti saya ajak ke gunung batu🙌;positif
fdldnnn;Lucu banget Gangga😍😢;positif
awkarin;Do you see what ‘they’ see? 😊Halo semua. Kali ini gue akan mengenalkan tempat wisata yang bisa dibilang agak extreme & mistis.Yup, pasti orang Jogja udah ngga asing dengan namanya “Rumah Pocong Mba Sumi”. Berlokasi di Desa Jagalan, Rumah no. 197, Gang Soka, Kecamatan Banguntapan, Kabupaten Bantul, DI Yogyakarta, rumah ini terkenal karena penunggunya yang bernama Mba Sumi, dengan sosok pocong perempuan masih belia umur 18 tahun-an yang kerap terlihat di jendela depan rumah tersebut.Mba Sumi katanya suka ngisengin ojek atau orang yang lewat di situ dengan menampakan dirinya. Makanya sejak lama, rumah itu disebut “Rumah Pocong Mba Sumi”.Ketika kalian berkunjung ke sana, kalian akan didampingi oleh penjaga atau juru kuncinya di sana, Mbah Nono. Dari situ kalian akan dijelaskan tentang sejarah rumahnya dan akan diperkenalkan satu persatu dengan penunggu rumah tersebut.Untuk masuk ke dalam rumah ini, kalian sebenarnya tidak akan dikenakan biaya apapun. Namun, biasanya para pengunjung memberikan sejumlah uang pemeliharaan rumah seikhlasnya, sebagai bentuk terima kasih karena telah menjelaskan dan membawa pengunjung tour di rumah ini.Btw, di satu ruangan, kalian bisa experience di elus-elus sama salah satu penunggu di sana. Dengan cara menunggu sendiri di salah satu ruangan selama kurang lebih 10 menit.Hiiiii ada yang berani?;positif
jona.thannangoi;Pasti kalau malam bakal byk hantunya…. @awkarin;negatif
alqard_;@ifalafff;netral
meow_ochi;@diarycewekindigo;netral
fkr_zul;Bikin pilem setan mba karin keren rumahnya kalo di bikin pilem setan, DI TUNGGU FILM HORRORNYA, KAYAKNYA KALO MBA KARIN YANG MAEN KEREN @awawe.e;positif
itskikyy_;Rumahnya bagus. Sayang bgt kyk gitu:(;positif
alviinkusuma_;Ada yng sama ? Pusing + deg degan, kirain kelamaan liat fotonya ternyata kebanyakan ngopi:(;negatif
lisanaylaa;@sarawijayanto;netral
abjazener;ini mah pas di foto setannya jadi estetik;negatif
aurrraurrran;@qwertyuuu.hhhhhh anak indihome coba woyyy liat ada apan disitu ksh tau gue;negatif
endederwelt_zerinnen_schweigen;Pengen kesana lg... Bukan cari hantu tapi cari experience aja. Emang gak ditarikin biaya. Cuma dulu segerombolan inisiatif urunan perorang 20k. Dan waktu itu ada 10 orang jadinya ya 200k. Bapaknya humble banget. Jangan pelit pelit kasih bapaknya ya...;positif
ika_cachaa0501;Pengen kesana deh . Beneran bakal dielus gitu kak ?;positif
rsrtika;Rumah nya sama ga sih, yang di pake tempat syuting, perempuan tanah jahanam;netral
im.obeng;@diarycewekindigo tlg jelasin dong min ada apa aja;netral
pndoraaawk;mahluk2 yang ada di Rumah mbah sumi smua ada di YT nya @diarymisterisara 😍😍😍😍😍 yg penasaran langsung ajaaa nntn yaaaaaa;netral
regina.artha;@sarawijayanto 👏;netral
___slviyani;@rimarimput tuh ayo;positif
chairunnisa__;@elizaaap @winaaass @hi_winii @slv_claudia;netral
gelembung_persahabatan;@diarycewekindigo TIARAAA AYOO DI PERSILAHKAN🥲🥲;positif
rahmat.art182;@nggeksetiawan ono GRB-X nggex;netral
a9erlll;wkwk up deh 😂;negatif
amooymh;Kapan nih @eik_kaplale;netral
nabiladwiput;@diviradivaa nii;netral
tamassakanissa;@yhenisiwi  mba mbolll ngrti tmpt iki rung;netral
anggraal;@icchawww_;netral
melyaliwuu_;🔥🔥🔥🔥;netral
daniaaerma;Ada orang tua ga sih wkwk @awkarin;netral
hellaqanita96;Burem mataku 😂;negatif
shandybarkley08;Sara sechan pasti pernah ksini;netral
yaituemut;Inituh rumah yg di film perempuan tanah jahanam bkn sih?;negatif
selaoctavia;ini pernah di @sarawijayanto nih , coba deh tonton;netral
szarramukti;Keren bgt tempat nya @awkarin;positif
ferninaputriwlndr_;Boleh dicoba @adinda_oryzasv @audrycr @anggidiwati;positif
trntsya;Pernah liat kalau gak salah di DMS @sarawijayanto;netral
nadila.alk;Pusing pas abis geser ke slide brikut🥲;negatif
callmeeyosii;Kyk pernah di pake buat syuting film ga si?;positif
adityafaris96;Karin❤️❤️❤️;netral
reni_novrianti;Syg rmhnya dikosongin. Gak dikontrakin aja 😅;negatif
yessi.theresa;@maria.th26 monggo biar ngerasain dielus gratis;negatif
arkanhendrawan78;Lebih ke slide 7 sih kalo aku kayanya lebih menyeramkan;negatif
ucyis;Ft;netral
ucyis;5;netral
ucyis;Ft;netral
just.titik;Cantik mulu rin😢;positif
ploey04;Suram banget asli kayak masa lalu aku sama dia yang ga pernah tau kejelasan hubungan nya gimana;negatif
nenengsitiharyanti;Slide trakhir itu ada perempuan terkurung sedih di dalem 😢;negatif
fgbalkiss;@tim_jurnalrisa kesini dong kak🧏🏻‍♀️;positif
elinyunita__;@jdykrnwn_;netral
maulidia1367;Ini mirip banget rumh di film hantu wanita tanah jahanam ga sih seremmm bngtt;negatif
jessie.kitchen99;Aku jogja bantul pula tapi ga berani kesana😂;negatif
dianpermanaozo;Cantik aja heran❤️;positif
elliruspita;Apik ya aesthetic, coba sek bujang pasti masuk list ini @ade_suhanto;positif
ontyxz;Yang fto ke 3 itu kaya ada kepala deh;negatif
gesty_liana;Gak gak gakk mauu sereum bgt;negatif
iwit.akbar_;aku anak indomie hadir;netral
hasanpowers;Mbk soomi pasti dari Korea 😢;netral
michelleverlyy;yuk @fzakmal;positif
nzacitrastore;Cusslah @awkarin colab sama kak @sarawijayanto..;positif
agenghasary__;Iyah pernah ditayangin di @diarymisterisara;netral
luvena.annolys;karin, coba ikut penelusuran @sarawijayanto dongggg;netral
erefrilia;Gasssinn gak nih @miazuliana @ulfatulizzaa.27 @azzahdins @syarifahsalmah12 @syarifahsalmah12 @reffsudew @r_faida;positif
jefjj__;Kak @sarawijayanto dan team @diarymisterisara  juga pernah penulusuran ke sini kak @awkarin;positif
ayuniwulan;@ttnaaulrhyuuuu gunakan kemampuanmu😂;positif
imutt.idk;pernah liat channel ka sara ke situ dan emg serem bgt;negatif
i.chaa17;@astrit_rabeca nanti kasi tau aku di skul;netral
annisaul18;"Ga ""ngeliat"" apa-apa sih cuman pas liat foto gua gelisah aja 🤣 padahal dah pernah nonton di yutub ka sara wijayanto 😅";negatif
wiezha30;@ftrrmddd_;netral
marshanblh_;prnh muncul di yt mba sara wijayanto katanya serem bgtttt;negatif
adhelia012;Kaya rumah di film perempuan tanah jahanam kak;negatif
asrifajarsp;Rumah style Chinese ya?;netral
mae_muna;Pulang dari sini kujamin diriku lngsung demam;negatif
eva.nazila;Pernah nyoba buat ketemu sama si mbah nya,  di dampingi sama juru kunci disitu 😢 @rezaseptiana.s @novia_kintan @muhandin;netral
zabellufenaaa;Takut ❎ Pengen bawa pulang kursi disamping dispenser ✅;negatif
mayangwijaya;buset karin lu berani bgt moto motoin rumah beginian;netral
qaurasalsabila;https://youtu.be/FCw6LtCUqCY  buat yang mau nonton fakta tentang rumah bersejarah ini, rumah Mentri agama kedua di era presiden soekarno pak rasidi 😊, let's see this place as a rumah bersejarah daripada diliat sebagai rumah hantu xixixi;netral
aaany4_;Ada kok penelusuran di youtubenya ka sara wijayanto, judulnya mbah sumi klo gak salah;positif
adepertiwi8484;Pernah didatengin Ama dms kayanya ya...;positif
ponticaroline;Bisa merasakan tdnya dulunya rumah ini bagus sekali..;positif
masitoh1712;Wihhh asikkk juga tuh😍;positif
nia_shafana;G kuat liat kasurnya ..langsung balikin slide nya;negatif
awinayyyy;allahu akbar bisa-bisanya sebelum baca caption aku mikir awkarin beli rumah terus update before di renovasi 😭🙏🏻;positif
ima_13;Ehhh nongol di slide terakhir;negatif
nadyafernanda;Aku lebih suka trapi kaki yg di gigit ikan aja;positif
rsmaa.rdw;Untung anak warung warung ja @haruuu_ha @mayaviranty_ 😂😂😂;negatif
joicepenali___;Tau tempatnya dari DMS🔥;netral
antiazzahr;Seketika Saradict bermunculan melihat postingan ini😂;positif
nurulintan_23;Ini rumah yg di film perempuan tanah jahanam ya?;netral
futkha;Slide trakhir sih 🙈;netral
_yessi.novitasari;Aku pernah liat,di DMS pernah syuting disitu😂kak Karin engga takuttt???🤣jangan masuk kedalem² yaaa kak;negatif
yann_p.sila;Sy melihat banyak coretan dinding, itu artinya apa ya ?;negatif
andinuraisyahh_;ini tempat main film yg wayang itu kan?;netral
auranarr;aku anak indomie sih jadi gak keliatan😢;netral
cindedomamelly;Slide ke4 pala nya nongoll gtuu 😁 @cindeajah22 @riniedmy86;negatif
henie.krisnha;🙌👏😮jzbh;netral
miftaaauliya;@iqbaldwiyantoo;netral
jojojohannes07;@devianamusthika pean dlok enek opo mba? 😮 ak sg raiso dlok ngnowi ae horor wisan;negatif
potatoox;Slide terakhir sedih bgt mbaknya 😢;negatif
nunaa17;Buset gue miness Rin, ga bisa liat yg haluss, bisanya Lihat yg kasar 😂;negatif
ikhsan_harris;Wirausaha be like : tempat yang strategis😏;positif
cokelatbutir;ini rumah yg ada di film perempuan tanah jahanam bukan si? mirip😂;netral
_saktiawp;@febychann ini;netral
acitmgt;Percaya ga percaya sih rin, kmrn abis liat ini pusing seharian 🔥;negatif
fadillaa.ts;@sherinajlaa sumpah kaya di perempuan tanah jahanam;netral
leonardo.batubara;slide terakhir rame bgt;positif
brewoktebal_;Lahhh bacanya tengah malem gini yak;negatif
mrthfd;Pernah liat di Chanel YouTube nya kak @sarawijayanto di Diary Misteri Sara. Coba deh kak cek YouTube nya @awkarin;netral
mahadir_ella08;Vibes horor tapi aesthetic;positif
firmansyah.rizal12;Kaya gak asing tempatnya😂😂 @sarawijayanto;positif
yogawartama;keren jadi cafe nih;positif
kinnnn_18;@ruthmurniati_ mau coba ga? Wkwkkwkw;netral
maydanitas;mba sumi @rhe_vanqman;netral
nenmonn;Demi apa si ini tempat bangunan yg pernah di datengin sama sarah wijayanto, yang nyeremin bgt krn ada arwah yang meninggal nya tragis;negatif
the_enos;Udah bener2 gak terawat.. terakhir masih lumayan bagus lohh..;negatif
cin.dyaa;mana bukanya pas malem lagi😢;negatif
shitaritonga;Kaya ada cewe yg duduk dikursi pake piyama slide pertama;negatif
syafridaynasution;@risa_saraswati teh;netral
dessirhm;Udh liat sara wijayanto kesini, yg ada sinden nya;negatif
hanifafu;@tim_jurnalrisa;netral
nadhiraelena;😂;netral
syahira_42;@istianahvina anak Indihome coba liat ini 😂;netral
xyaida;@restyndrr_;netral
its.sadom;@ussfeeds;netral
shellaisabella;Ak nangis;negatif
irmaayuniita;Karin foto disana bukan horor malah estetic;positif
kaosasix.id;Gw berani.. berani banget klo disuruh bilang.. gw suka kamu 😂;positif
rifkaainurr_;@oii.icaa;netral
pacar.bapackmu;@nadiaomara udah kesini;positif
uchyrahmadany;Aku melihat tanda2 akhir bulan;negatif
larasatycitra;Iya bener, pusing mual gw liatnya, pdhal gak liat apa²;negatif
petang_h;Awas kesambet riin;negatif
wulandwieputrif;@tim_jurnalrisa @indyratnap @risa_saraswati @abimanyu_______ @nickoirham__ @rianarizki @ranggana.purwana @kresnafathurrachman @fahrulrochman_ @dimasta_ yuk penelusuran kayanya seru hehe🙄;positif
fungsilaut.__;Jogja?;positif
mwhyc;Estetik;positif
camilan.ndesah;Ganas🔥🔥🔥l❤️;negatif
rifqirado;Wow 10menit:);positif
aandi.as;Apa cuman gw liat penampakan yg di falfon😢😢;negatif
aaanother.fi;@talitooongs ummm..;netral
widyazw;Lewat aja kita puter balik, mana aku di boongin:) @putritissa_;negatif
iema_sf113;Hampir mirip sm rumahku kak;positif
stefany.crista;Dari semua foto tsb cmn bapak mamak aku yg bisa liat semua makhluknya 😭😭 knp aku berbeda😭💔;positif
sasha_tasistia;Gue malah mikirnya mau renovasi sama Karin gitu 😂 mau dibuat studio atau apa gitu;positif
iam.vina05;atapnya banyak binatangnya yah? kok aku lihat burung hantu sama kucing lagi natap ke aku.;negatif
abbyhabibburohman;Pocong mba sumi,siapa nya pocong mumun ?;negatif
eqinmamahit;@arobby_ yuk ke sini di jogja;positif
dhanubhaskara;@iiamakbar gass jangan besok;positif
deviaynds;Kejogjaa kudu kesini ni 😂 @evanglgs_;positif
creamylattea;hawanya serem bangett;negatif
rositaoci1979;Kesini dong kak @tim_jurnalrisa😂;positif
anggunsunardi_;@risa_saraswati @tim_jurnalrisa  hayu teh penelusuran ke sini;positif
syarina.aufal;Serem;negatif
kewlaaa;mirip rumah perempuan tanah jahanam;netral
nadjaalfa;mau nyobaaa;positif
daffasr;Info syuting , bikin jadwal yok @riskirmdhn__ @yogik__ @ealah.rega @bayuuuuuar_ @rivaldygopal_ sekalian HEALING YG BENER...😂😂;positif
chyntiabhst_;Kek rumah bayik lagir tanpa kulit di film wanita tanah jahannam gasi ? @indahlstrsn;netral
zakiyaanii;@tim_jurnalrisa kesini dongg;netral
wulanjlynti;@lussfl inget kaga;positif
ra.nabilaa;@team_jurnalrisa penelusuran kesini plis;positif
iksan_ffauzi;@risa_saraswati @indyratnap;netral
nurulfdila._;o;netral
wahyu___setiawan;Berani tp takut;negatif
tesharahmandhany;@its.egaa tolong ditengok anak indihom;netral
fanypdewi_;@tim_jurnalrisa mau coba kesinii gaa?;positif
calistyara_;@rakakaaaaaaaa @nabilazhrra__ @natasyamaulaaudrey @_didalndrzhr;netral
mnd.da;@ic__aaa ayo coh kasi tau;netral
rezkyyputri;Kliyengan abis liat foto²nya... 🥴;negatif
mayangulfia;cuy ini bukan @annisfauuz 😢;netral
fanypdewi_;@tim_jurnalrisa mau coba kesinii gaa?;netral
fftokta3_;@kbp.lovers_  coba ka dsni;positif
karinaazmina11;Sepertinya saya harus tag @tim_jurnalrisa @risa_saraswati;netral
yaaria.sm;Ini udah di telusuri kak @sarawijayanto  di youtube nya @diarymisterisara . Cerita nya menyentuh banget, 😍😍😍;netral
anandazahwaa;Gua cuma liat ini tempat kosong bgt kek dompet gue cong @firaniafara;negatif
ws.oktafiah;Pusingggg;negatif
ainaaalfisyahri;Bukan anak indigo tp pas liat foto2 ini sampe ke slide 8 bikin mual, ngerasa sedihh aja😢😢;negatif
slaxxth_;Jadi pengen dms x awkarin deh 😌;positif
x.sabillee;Aku melihat dompetku terisi nya masih lama😢;negatif
adeeolaaa;🔥;netral
bathroom_singer00;@tim_jurnalrisa;netral
krismaindryyani;Bener juga di lorong itu juga ada anak kecil dari Belanda;negatif
taniamilest;merinding;negatif
tiaradsa_;@kakakberadikpodcast.mop @mopchannel @mop.crew @heidyhellena ayo kesiniiii;positif
hey__ebi;Aku tdk anak indigo tp aku anak indomie sudah merasakan hawa tak sedap;negatif
suciwhyuningsh_;kenapaa kitaa ga kesini dulu? @aadetry_lp @ervin_1904 @kristasalainti :);positif
fdlarawr;Bukan indigo sih tapi liatnya aja kaya ga nyaman gitu gatau kenapa dah;negatif
anisainda_;@alisa.joana;netral
nanciy90;Pengen bgt bisa ketempat2 yg kek gini tp takut mudah kesurupan, Krn ngerasa diri sendiri lemah juga terlalu sensitif. Ga mampu 😢;negatif
its_wulland;Pernah tah ceritanya saat sarawijayanto dlu syuting d sana;netral
rhmzra_;@tim_jurnalrisa;netral
pulangjamsepuluh_;Saya melihat kehampaan di hubungan kita😮😮;negatif
monicmomon;slide ke 5 🙃;netral
salnad.ut;padahal rumahnya estetik cukk😢;positif
dian.agus_;Tempat uji nyali tuh;negatif
larasbellaa;"Anak indomie, keknya gabisa ""liat"" lainnya😢";negatif
fariizkyy_;Ini rumah yg pernah di datengin tim DMS Ya;netral
raranasira;@dendyaryo;netral
artlistica;@riska_etnik kesini ris kerenn 🔥🔥;positif
novaa_031;Liat foto-fotonya jadi pusing sama mual deh........... Yahh emang karna lagi masuk angin:(;negatif
estiandrianii;Mba Suminya keliatan dong :(;negatif
vynacitranabilaa;Ngeliat aja langsung merinding😢;negatif
iskiiii__;Liat foto ini sama Igs ka karin lgsung lemesss , pusinggg , muall😢 Gabisa liat sosoknya , tpi bisa kerasa bgt vibenya;negatif
registryedna;@indyratnap @tim_jurnalrisa @abimanyu_______ @risa_saraswati;netral
akbarrbsl;@steven.kurniawann @rofyarhamaani @anggi_ginanjar_  gass;positif
astrinovian17;@tim_jurnalrisa;netral
insteadofspammin;nur kesini aj @hiii.beach;netral
skin.tw;Jurnal risa pernah kesini😮;netral
skin.tw;Jurnal riaa pernah kesini. 😮;netral
zafiraamjd;ngumpul semua digenteng ya shay🥲;negatif
reynathangm;Berani dong rinn;positif
vanchajo;@awkarin gue mau berbagi cerita dari apa yang gue liat rin di foto lo, gue share di komen apa dmna rin?;netral
garnis_sekarini;penelusuran sama JURNALRISA Sabi kali Rin @jurnalrisaoffisial;netral
_yustk;@bagas_kenyo;netral
himrhsyhx____;Gua suka vibes tempatnya 😍;positif
g.rydi;Ini yg dulu tim jurnalrisa pernah kesitu;netral
luv.jeee;Ini pernah ada di yt nya nyai Sara Wijayanto @sarawijayanto @awkarin;netral
ainun_mndfh;@oktavia_ta aku dulu tahu tmpt ini grgr mbo kongkon baca thread 😂;netral
sans94_;Ini tuh rumah tempat syutingnya perempuan tanah jahanam ya? Mirip bgt;netral
ulan_lee;👏👏👏👏👏;netral
axcwiwitxya;Pernah buat shooting @diarymisterisara 😂;netral
chokrengifari;😍;netral
chokrengifari;👏;netral
wahidariyani;Awkarin x dms❤️😍;netral
naraaa.y_;Rasa ingin kesana tp ga berani @danxes_;positif
anaknya_bude;Engap;negatif
silvaaprn;dikira rumah bekas belanda yg di jamblank city😢 @elayyy_ya @dehaaya_ @mrcllla @silvi.ipi;negatif
maulidia1367;Ini mirip banget rumh di film hantu wanita tanah jahanam ga sih seremmm bngtt;negatif
tikandrwngi;Ga berenti merinding ngeliat sampe slide terakhir;negatif
lalarahmansah;Kesini apa ?@estilarasati;positif
sitisuliskn;Liat slide terakhir kenapa tbtb netes air mata njir😭 @usniawati01 @ynita979 @bungarahayu13 @siti_nurhazizah20 @wiwitsafitri7;negatif
lalanda11;pengen kesini @virgikk_ @riezky_s.a @indah.puspitta @rizzaiswara;positif
tataistaaa;Slide 3 dan 8 merinding;negatif
ayyiinn._;@ur.girl_fwen;netral
endankas;@fathur_rr22;netral
itsozay_;I saw her Face , mba Ayu 😢;netral
alimukhtarrr_;rumahnya enak ya;positif
astriesalonpaseban;@risa_saraswati ka coba kesini;positif
punkyaf_;Pernah tau rumah ini, di channel diary mistery sara;netral
kayllaaaaaa__;@ronanhandoyo  Gmn bg;netral
y0ub1tjh;karna saya anak indibego, jdi saya gabisa ngeliet🙏;negatif
riosyarifaiz;@farqirmd @ypradana_ nek rene ki awan ora jam 1 bengi aso;negatif
astriesalonpaseban;@risa_saraswati ka coba kesini;positif
astriesalonpaseban;@tim_jurnalrisa @jurnalrisaoffisial;netral
phialfiani;@itsme.frisllyherlind @sarawijayanto @risa_saraswati;netral
riosyarifaiz;@farqirmd @ypradana_ nek rene ki awan ora jam 1 bengi aso;negatif
___nailasyfq;baru liat gambar nya aja hawa nya gaenak, bukan karena indigo atau ngeliat sesuatu si, emang takut ajjjj;negatif
nvna17_;@_ungeeeee_;netral
ekavebrianty26;Team gercap @diarymisterisara  udah Main kesini belom??;netral
hanschrstian;Kenapa di slide terakhir 😢;netral
larasatiza6;@tim_jurnalrisa @risa_saraswati;netral
lusyanagustine;Aku mau kesini ya @adenricos 😘;positif
tia.ibrahimm_;@anjptrmdhn @anjptr76 pada bilang slide 3 sama terakhir. Kataku yg perlu d waspadai di slide 7 🥲;negatif
westraadsty;Gw kalau malem lewat situ pasti merinding, pusing+mual 😶;negatif
elinda_ayu24;@tim_jurnalrisa 🔥;netral
hilda_maulidiyani;@risa_saraswati @indyratnap tolong kalo ada waktu ka 😂;positif
rinniwyuni;Anak indomie cuman bisa kenyang aja kayanya:(((;netral
yanareuuu_;GILAKKKK AWKARINNN berani banget 😢;positif
yollaabillah;@nrlsknh13 Tolong anak indomie;netral
lisaarian.i;Ternyata banyak juga orang indigo ngumpul disini😅;netral
ermapertiwi03;Dapet gopay gua mau 😂;positif
_agneskantue;bgni @itafazria ?🤣🔥;netral
trya.ps;Koq ngeliat ad sosok pas dekat pintu td langsung pusing😢;negatif
njol.z_05;Rumahnya bagus klasik 😍;positif
temmylynch;Pdhl Bagus rmh nya…Kl msh dirawat di renovasi..Seneng tipe Rmh Jadul gini;positif
dnjya.ydp;@indahaazzahra ??;netral
ecaarsitasrg;@risa_saraswati @tim_jurnalrisa dipersilahkan ibu Risa👀;netral
cucisepatu.omgun;Authentic bgt gile 👏;positif
najma_shafrina;@dinatamboel;netral
ghinslsbil_;@ruventeuxy silahkan tunjukan pesonamu dd;positif
awrienn;aku anak indomie 😔;netral
rayyanash;kok boleh di dokumentasiin?;positif
farrelnd;@mstk_nisa nihh🙂;netral
ayumulynii;Pernah jadi tempat penelusuran @diarymisterisara seru sih parah 🔥;netral
fayymokogintaa;mnjo ksini @chacaapaputungann @putrikorompot @adityoprasetyoo;netral
naanaajjj;@tim_jurnalrisa;netral
nwn.mmy28;@tim_jurnalrisa semoga bisa kesana ya klo bisa sm mba Awkarin ❤️;positif
fajar_satriatama.13;Anak Indihome pasti liat sesuatu yg janggal;negatif
aditajulianita.k;Pas ngeliat langsung pusing;negatif
my_beibee;Kek bukan karin 😟;negatif
arum.mn;Slide trakhir ada mba Sumi yg sarawijayanto komunikasi;netral
bilas3232;@doremanta yuk kesini;positif
sherlykarina_;Gak beraniii;negatif
mynameisawan09;Anak indomie diam saja sambil menikmati;negatif
nrjanahfitri;@ii.naaa jd pgn;positif
andiiiiipyh;Rumah ini pernah ditelusuri di youtube ka @sarawijayanto;netral
_ignasiadea;@lauraadelynh gua anak indomie ga bisa liat hal mistis;negatif
endwhytiii;Serem tapi estetic @__sakinahhh;negatif
hotteokcouple;diarycewekindigo mana niiii;netral
irenaaaputri;kak @sarawijayanto  pernah kesini . cek aja di yt nya;netral
kamilarrk;@mbunpe @norma_azimatul @lailyy.12 @ulvah_elvazza @haimellaa @ochywee_ @sayyidah009 @khoirunnuval CATAT !! pokoknya gimana caranya someday kita kesana. gatau deh gimana kesananya naek apa dan segala tetekbengeknya wkwkwk POKOKNYA HARUS WKWKWK;positif
dellaalvianaaa_;Mba Sumi ada di bagian ke 5 🙃;negatif
puputdy;btw slide terakhir diatas kek orang ngintip ya ? aku langsung tertuju kesitu 🥲;negatif
ponnengponneng;Bagus😍tapi seram;negatif
bungaaaliyah;Di kasur ada yg duduk mukanya kayak murung gitu, terus di dekat pintu ada yg putih entah itu mba Sumi atau kah sosok lain;negatif
frdaaash;Kayak yg pernah didatengin @diarymisterisara;negatif
_srhlaa;Yang dibuat syuting sarah wijayanto dulu nii;netral
teguhariwibowo81;@radenmas_ulung coba kesini mas explore;positif
teguhariwibowo81;@steven.kurniawann keren ler ini;positif
rastibuana;@fadiasalsadlaa tolong nak lihat ada penampkan apa ,ku penasaran;negatif
audinaadvgn;Aku tau sedikit cerita tentang rumah ini dari @diarymisterisara;netral
erikachika;Rin collab sm @sarawijayanto @diarymisterisara_store dong, mereka jg pernah penelusuran kesini deh kalo gk salah..;positif
astri_rizkianti;Coba liat vlognya ustad muhammad faizar udah di bahas tuntas tentang rumah pocong sumi ini 😊;positif
celin_nilecram;Slide terakhir bikin dagdigdug😢;negatif
optitanrealintan;Kak @sarawijayanto pernah kesini, dan wow bawang banget sih denger kisahnya;negatif
indirarochaeni_;Slide ke 7 😢😢;netral
ridafarida_99;Pengen liat neliti liatin benda satu satu . Tpi gabisa merinding ,mual .pusing . Baru dfoto loh . Apaplgi gua kesana . Bisa bisa gue .... ah sudahlah😢;negatif
dillarazahr;slide terakhir bujubuset bgt😭🙏🏼;negatif
indahayuallfiyah;Mas liatin ada ga @evalrusdianto13;netral
fajrinaunong;Rinn spill bajunya doonggg;netral
cibeurdrugs;Yampun masih remaja toh almarhum 😭😭😭;netral
qurotaayn_ya;@niaahmd19;netral
m.rahn_0;"Maaf kak harusnya "" Did you see what they saw""";netral
ayuvivii;Di slide pertma melihat wanita duduk di tengah2 pilar;negatif
rizkahayyu_;Bukan indigo, tapi puyeng dan mual liat²  fotonya 😢;negatif
ulan.s.p;slide terakhir😖;netral
